,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
793,De Dana Dan,2009,Priyadarshan,"Jay Master (dialogues), Ashiesh Pandit (lyrics), Priyadarshan (screenplay), Sayeed Qadri (lyrics), Neeraj Shridhar (lyrics)","Akshay Kumar, Sunil Shetty, Katrina Kaif, Sameera Reddy",Comedy,Hindi,India,162,1000000
794,Syrup,2013,Aram Rappaport,"Aram Rappaport (screenplay by), Max Barry (screenplay by), Max Barry (novel)","Juan Luis Acevedo, Kirstie Alley, Jolene Andersen, Max Barry",Comedy,English,USA,90,656
795,Barfi!,2012,Anurag Basu,"Anurag Basu (story and screenplay), Tani Basu (story and screenplay), Sanjeev Dutta (dialogue)","Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz, Saurabh Shukla",Comedy,Hindi,India,151,2804874
796,Filly Brown,2012,"Youssef Delara, Michael D. Olmos",Youssef Delara,"Gina Rodriguez, Khool-Aid Rios, Jenni Rivera, Lou Diamond Phillips",Drama,English,USA,80,2818020
797,Beneath the Harvest Sky,2013,"Aron Gaudet, Gita Pullapilly","Aron Gaudet, Gita Pullapilly","Emory Cohen, Callan McAuliffe, Kymberli Bryant, Zoe Levin",Crime,English,USA,116,28116
798,A Separation,2011,Asghar Farhadi,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",Crime,Persian,Iran,123,6700000
800,Life of Pi,2012,Ang Lee,"Yann Martel (novel), David Magee (screenplay)","Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur",Adventure,English,USA,127,103500000
801,Balls to the Wall,2011,Penelope Spheeris,Jason Nutt (screenplay),"Joe Hursley, Jenna Dewan Tatum, Dustin Ybarra, Dean Austin",Comedy,English,USA,85,3140
802,Land Ho!,2014,"Aaron Katz, Martha Stephens","Aaron Katz, Martha Stephens","Earl Lynn Nelson, Paul Eenhoorn, Daniel Gylfason, Thrudur Kristjansdottir",Adventure,English,Iceland,95,727430
803,Kidnap,2017,Luis Prieto,Knate Lee,"Halle Berry, Sage Correa, Chris McGinn, Lew Temple",Action,English,USA,95,30597319
804,Compliance,2012,Craig Zobel,Craig Zobel,"Ann Dowd, Matt Servitto, Dreama Walker, Pat Healy",Biography,English,USA,90,318622
805,Brief Reunion,2011,John Daschbach,John Daschbach,"Joel de la Fuente, Alexie Gilmore, Scott Shepherd, Francie Swift",Drama,English,USA,88,5891
806,Fantastic Beasts and Where to Find Them,2016,David Yates,J.K. Rowling,"Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck",Adventure,English,UK,133,234018657
807,New World,2013,Hoon-jung Park,Hoon-jung Park (screenplay),"Jung-jae Lee, Min-sik Choi, Jung-min Hwang, Sung-woong Park",Crime,Korean,South Korea,134,296512
808,Youssou Ndour: I Bring What I Love,2008,Elizabeth Chai Vasarhelyi,Elizabeth Chai Vasarhelyi,"Youssou N'Dour, Peter Gabriel, Moustapha Mbaye, Kabou Gueye",Documentary,French,Senegal,102,32598
810,Little Boy,2015,Alejandro Monteverde,"Alejandro Monteverde, Pepe Portillo","Jakob Salvati, Emily Watson, David Henrie, Michael Rapaport",Drama,English,Mexico,106,4902290
811,Korkoro,2009,Tony Gatlif,"Tony Gatlif, Lucy Allwood (translation and adaptation)","Marc Lavoine, Marie-Josee Croze, James Thierree, Mathias Laliberte",Drama,French,France,111,3698
813,Thaandavam,2012,Vijay,"Nigel Genis (scene), Mike Parish, Vijay","Vikram, Jagapathi Babu, Anushka Shetty, Amy Jackson",Action,Tamil,India,160,212145
814,Paris 36,2008,Christophe Barratier,"Christophe Barratier, Christophe Barratier (adaptation), Julien Rappeneau (adaptation), Christophe Barratier (dialogue), Julien Rappeneau (dialogue), Pierre Philippe (dialogue), Frank Thomas (original idea), Reinhardt Wagner (original idea), Jean-Michel Derenne (original idea)","Gerard Jugnot, Clovis Cornillac, Kad Merad, Nora Arnezeder",Drama,French,France,120,812429
815,3 Hearts,2014,Benoit Jacquot,"Julien Boivent, Benoit Jacquot","Benoit Poelvoorde, Charlotte Gainsbourg, Chiara Mastroianni, Catherine Deneuve",Drama,French,France,108,104398
816,Oy Vey! My Son Is Gay!!,2009,Evgeny Afineevsky,"Menahem Golan, Evgeny Afineevsky, Martin Guigui","Lainie Kazan, Saul Rubinek, Vincent Pastore, John Lloyd Young",Comedy,English,USA,90,87154
817,American Honey,2016,Andrea Arnold,Andrea Arnold,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi",Adventure,English,UK,163,662786
818,The Mountain Between Us,2017,Hany Abu-Assad,"Chris Weitz (screenplay by), J. Mills Goodloe (screenplay by), Charles Martin (based upon the book by)","Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney",Action,English,USA,112,29669726
819,Queen of Katwe,2016,Mira Nair,"William Wheeler (screenplay by), Tim Crothers (based on the ESPN Magazine article and book by)","Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza",Biography,English,USA,124,8874389
820,Get Him to the Greek,2010,Nicholas Stoller,"Nicholas Stoller, Jason Segel (characters)","Russell Brand, Rose Byrne, Tyler McKinney, Zoe Salmon",Adventure,English,USA,109,60923325
821,The Princess and the Frog,2009,"Ron Clements, John Musker","Ron Clements (story by), John Musker (story by), Greg Erb (story by), Jason Oremland (story by), Ron Clements (screenplay by), John Musker (screenplay by), Rob Edwards (screenplay by), E.D. Baker (story inspired in part by ""The Frog Princess"" by)","Anika Noni Rose, Bruno Campos, Keith David, Michael-Leon Wooley",Animation,English,USA,97,104374107
822,The Ones Below,2015,David Farr,David Farr,"Clemence Poesy, Stephen Campbell Moore, David Morrissey, Laura Birn",Drama,English,UK,87,12089
823,Breathe In,2013,Drake Doremus,"Drake Doremus, Ben York Jones","Guy Pearce, Felicity Jones, Amy Ryan, Mackenzie Davis",Drama,English,USA,98,55881
825,Marley & Me,2008,David Frankel,"Scott Frank (screenplay), Don Roos (screenplay), John Grogan (book)","Owen Wilson, Jennifer Aniston, Eric Dane, Kathleen Turner",Comedy,English,USA,115,143084510
826,The Fairy,2011,"Dominique Abel, Fiona Gordon, Bruno Romy","Dominique Abel (screenplay), Fiona Gordon (screenplay), Bruno Romy (screenplay)","Dominique Abel, Fiona Gordon, Philippe Martz, Bruno Romy",Comedy,French,France,93,18417
827,The Paperboy,2012,Lee Daniels,"Peter Dexter (screenplay by), Lee Daniels (screenplay by), Peter Dexter (based on the novel by)","Zac Efron, Matthew McConaughey, Nicole Kidman, John Cusack",Crime,English,USA,107,692640
828,G-Force,2009,Hoyt Yeatman,"Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Hoyt Yeatman (story), David P.I. James (story)","Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner",Animation,English,USA,88,119420252
829,The End of Love,2012,Mark Webber,Mark Webber (screenplay),"Isaac Love, Mark Webber, Amanda Seyfried, Jason Ritter",Drama,English,USA,89,8326
830,Central Intelligence,2016,Rawson Marshall Thurber,"Ike Barinholtz (screenplay), David Stassen (screenplay), Rawson Marshall Thurber (screenplay), Ike Barinholtz (story), David Stassen (story)","Dwayne Johnson, Kevin Hart, Amy Ryan, Danielle Nicolet",Action,English,USA,107,127380061
831,Mothers and Daughters,2016,"Paul Duddridge, Nigel Levy(co-director)","Paige Cameron (screenplay written by), Paul Duddridge (based on concept by)","Selma Blair, Luke Mitchell, Symmetry, Gilles Marini",Drama,English,USA,90,29149230
832,The Rooftop,2013,Jay Chou,Jay Chou,"Jay Chou, Xueqi Wang, Eric Tsang, Fan Xu",Action,Mandarin,Taiwan,120,16226
833,Middle Men,2009,George Gallo,"George Gallo, Andy Weiss","Luke Wilson, Giovanni Ribisi, Gabriel Macht, James Caan",Comedy,English,USA,105,723714
834,The Perfect Game,2009,William Dear,"W. William Winokur, W. William Winokur (book)","Jake T. Austin, Jansen Panettiere, Moises Arias, Ryan Ochoa",Comedy,English,Canada,118,1000000
835,Lady Bird,2017,Greta Gerwig,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges",Comedy,English,USA,94,48285330
837,The Breadwinner,2017,Nora Twomey,"Anita Doron (screenplay), Deborah Ellis (screen story), Deborah Ellis (based on the book by)","Saara Chaudry, Soma Chhaya, Noorin Gulamgaus, Laara Sadiq",Animation,English,Ireland,94,228056
838,The Words,2012,"Brian Klugman, Lee Sternthal","Brian Klugman, Lee Sternthal","Dennis Quaid, John Hannah, Jeremy Irons, Bradley Cooper",Drama,English,USA,102,11434867
839,The Equalizer,2014,Antoine Fuqua,"Richard Wenk, Michael Sloan (based on the television series created by), Richard Lindheim (based on the television series created by)","Denzel Washington, Marton Csokas, Chloe Grace Moretz, David Harbour",Action,English,USA,132,85212969
840,Jack & Diane,2012,Bradley Rust Gray,Bradley Rust Gray,"Juno Temple, Jackson Ning, Samantha Ives, Anika Jennie Ji",Drama,English,USA,110,1041
841,North Face,2008,Philipp Stolzl,"Chris Silber, Philipp Stolzl, Rupert Henning, Johannes Naber, Benedikt Roeskau (story)","Benno Furmann, Johanna Wokalek, Florian Lukas, Simon Schwarz",Adventure,German,Germany,126,500948
842,What Happens in Vegas,2008,Tom Vaughan,Dana Fox,"Cameron Diaz, Ashton Kutcher, Rob Corddry, Lake Bell",Comedy,English,USA,99,80199843
843,Heaven Knows What,2014,"Benny Safdie, Josh Safdie","Arielle Holmes (inspired by a book written by), Josh Safdie, Ronald Bronstein","Arielle Holmes, Caleb Landry Jones, Buddy Duress, Necro",Drama,English,USA,97,80013
844,Sand Storm,2016,Elite Zexer,Elite Zexer (screenplay),"Lamis Ammar, Ruba Blal, Hitham Omari, Khadija Al Akel",Drama,Arabic,Israel,87,64043
845,Puerto Ricans in Paris,2015,Ian Edelman,"Ian Edelman, Neel Shah","Miriam Shor, Luis Guzman, Edgar Garcia, Rosario Dawson",Comedy,English,USA,82,90884
846,Kevin Hart: Let Me Explain,2013,"Leslie Small, Tim Story",Kevin Hart,"Kevin Hart, Harry Ratchford, Will 'Spank' Horton, Joey Wells",Documentary,English,USA,75,32200000
847,Kit Kittredge: An American Girl,2008,Patricia Rozema,"Ann Peacock, Valerie Tripp (Kit Kittredge stories)","Abigail Breslin, Julia Ormond, Chris O'Donnell, Jane Krakowski",Drama,English,USA,101,17533514
848,Logan,2017,James Mangold,"James Mangold (story by), Scott Frank (screenplay by), James Mangold (screenplay by), Michael Green (screenplay by)","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",Action,English,USA,137,226276809
849,The Men Who Stare at Goats,2009,Grant Heslov,"Jon Ronson (inspired by the book), Peter Straughan (screenplay)","George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey",Comedy,English,USA,94,32400000
851,Our Brand Is Crisis,2015,David Gordon Green,"Peter Straughan (screenplay), Rachel Boynton (documentary)","Sandra Bullock, Billy Bob Thornton, Anthony Mackie, Joaquim de Almeida",Comedy,English,USA,107,4895965
852,Nitro Circus: The Movie,2012,"Gregg Godfrey, Jeremy Rawle","Gregg Godfrey, Travis Pastrana, Jeremy Rawle","Travis Pastrana, Jolene Van Vugt, Tommy Passemante, Jim DeChamp",Documentary,English,USA,92,3376905
853,Thelma,2017,Joachim Trier,"Eskil Vogt (screenplay), Joachim Trier (screenplay)","Eili Harboe, Kaya Wilkins, Henrik Rafaelsen, Ellen Dorrit Petersen",Drama,Norwegian,Norway,116,147112
854,We Need to Talk About Kevin,2011,Lynne Ramsay,"Lynne Ramsay (screenplay), Rory Stewart Kinnear (screenplay), Lionel Shriver (novel)","Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell",Drama,English,UK,112,1738692
855,The Last Exorcism,2010,Daniel Stamm,"Huck Botko, Andrew Gurland","Patrick Fabian, Ashley Bell, Iris Bahr, Louis Herthum",Drama,English,France,87,40990055
856,Final Destination 5,2011,Steven Quale,"Eric Heisserer, Jeffrey Reddick (characters)","Nicholas D'Agosto, Emma Bell, Miles Fisher, Ellen Wroe",Horror,English,USA,92,42500000
857,Ceremony,2010,Max Winkler,Max Winkler,"Michael Angarano, Uma Thurman, Reece Thompson, Lee Pace",Comedy,English,USA,89,21666
858,Strange Wilderness,2008,Fred Wolf,"Peter Gaulke, Fred Wolf","Steve Zahn, Allen Covert, Jonah Hill, Kevin Heffernan",Adventure,English,USA,87,6515869
859,The Stray,2017,Mitch Davis,"Parker Davis, Mitch Davis","Michael Cassidy, Sarah Lancaster, Connor Corum, Pluto",Drama,English,USA,92,1564482
861,Kinyarwanda,2011,Alrick Brown,"Alrick Brown (screenplay), Patricia Janvier (storyline consultant), Ishmael Ntihabose (story), Charles Plath (storyline consultant)","Cassandra Freeman, Edouard Bamporiki, Cleophas Kabasita, Mazimpaka Kennedy",Drama,English,USA,100,21097
862,Union Square,2011,Nancy Savoca,"Nancy Savoca (screenplay), Mary Tobler (screenplay)","Mira Sorvino, Michael Sirow, Tammy Blanchard, Murray",Drama,English,USA,80,44830
863,The Pearl Button,2015,Patricio Guzman,"Patricio Guzman (concept), Jackson Merrick","Martin Calderon, Cristina, Patricio Guzman, Ema Malig",Documentary,Spanish,France,82,1409
865,The German Doctor,2013,Lucia Puenzo,Lucia Puenzo,"Alex Brendemuhl, Natalia Oreiro, Diego Peretti, Elena Roger",Drama,Spanish,Argentina,93,414912
866,The Girl on the Train,2016,Tate Taylor,"Erin Cressida Wilson (screenplay by), Paula Hawkins (based on the novel by)","Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux",Crime,English,USA,112,75311445
867,GasLand,2010,Josh Fox,Josh Fox,"Josh Fox, Dick Cheney, Pete Seeger, Richard Nixon",Documentary,English,USA,107,30846
868,Elvis & Nixon,2016,Liza Johnson,"Joey Sagal (screenplay), Hanala Sagal (screenplay), Cary Elwes (screenplay)","Michael Shannon, Kevin Spacey, Alex Pettyfer, Johnny Knoxville",Comedy,English,USA,86,725324
869,Enter the Void,2009,Gaspar Noe,"Gaspar Noe, Lucile Hadzihalilovic (with the help of)","Paz de la Huerta, Nathaniel Brown, Cyril Roy, Olly Alexander",Drama,English,France,161,336467
870,Cowboys & Aliens,2011,Jon Favreau,"Roberto Orci (screenplay), Alex Kurtzman (screenplay), Damon Lindelof (screenplay), Mark Fergus (screenplay), Hawk Ostby (screenplay), Mark Fergus (screen story), Hawk Ostby (screen story), Steve Oedekerk (screen story), Scott Mitchell Rosenberg (Platinum Studios comic book)","Daniel Craig, Abigail Spencer, Buck Taylor, Matthew Taylor",Action,English,USA,119,100215116
871,Ready,2011,Anees Bazmee,"Rajan Aggarwal (screenplay co-writer), Ikram Akhtar (screenplay), Nisar Akhtar (additional dialogue), Farhad Bhiwandiwala (dialogue), Gopimohan (story), Rajeev Kaul (screenplay), Sajid (dialogue)","Salman Khan, Asin, Paresh Rawal, Mahesh Manjrekar",Action,Hindi,India,145,910446
872,On the Other Side of the Tracks,2012,David Charhon,"Eric Altmayer (original idea), Nicolas Altmayer (original idea), David Charhon (screenplay), Alexis Dolivet (adaptation), Remy Four (screenplay), Laurent Lafitte (adaptation), Julien War (screenplay)","Omar Sy, Laurent Lafitte, Sabrina Ouazani, Lionel Abelanski",Action,French,France,96,5923
873,Tokyo Sonata,2008,Kiyoshi Kurosawa,"Kiyoshi Kurosawa (screenplay), Max Mannix, Sachiko Tanaka (screenplay)","Teruyuki Kagawa, Kyoko Koizumi, Yu Koyanagi, Kai Inowaki",Drama,Japanese,Japan,120,103045
874,From Nowhere,2016,Matthew Newton,"Matthew Newton, Kate Ballen","Sydni Beaudoin, Helen Beyene, Erica Camarano, Joseph Castillo-Midyett",Drama,English,USA,89,5408
875,A Royal Night Out,2015,Julian Jarrold,"Trevor De Silva, Kevin Hood","Sarah Gadon, Bel Powley, Emily Watson, Rupert Everett",Comedy,English,UK,97,1626909
876,Masss,2015,Venkat Prabhu,"D.S. Kannan, Madhan Karky (dialogue), Venkat Prabhu","Suriya, Nayanthara, Parthiban, Samuthirakani",Action,Tamil,India,151,85951
877,The Extraordinary Adventures of Adele Blanc-Sec,2010,Luc Besson,"Luc Besson (screenplay), Jacques Tardi (comic books)","Louise Bourgoin, Mathieu Amalric, Gilles Lellouche, Jean-Paul Rouve",Action,French,France,107,123614
879,Pain & Gain,2013,Michael Bay,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Pete Collins (based on the magazine articles by)","Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub",Action,English,USA,129,49300000
881,Skateland,2010,Anthony Burns,"Anthony Burns, Brandon Freeman, Heath Freeman","Shiloh Fernandez, Ashley Greene, Heath Freeman, Brett Cullen",Drama,English,USA,96,13612
882,Monsters vs. Aliens,2009,"Rob Letterman, Conrad Vernon","Maya Forbes (screenplay), Wallace Wolodarsky (screenplay), Rob Letterman (screenplay), Jonathan Aibel (screenplay), Glenn Berger (screenplay), Rob Letterman (story), Conrad Vernon (story)","Reese Witherspoon, Seth Rogen, Hugh Laurie, Will Arnett",Animation,English,USA,94,198332128
883,The Last Exorcism Part II,2013,Ed Gass-Donnelly,"Damien Chazelle (screenplay), Ed Gass-Donnelly (screenplay), Damien Chazelle (story), Huck Botko (characters created by), Andrew Gurland (characters created by)","Ashley Bell, Julia Garner, Spencer Treat Clark, David Jensen",Drama,English,France,88,15200000
884,Honey 2,2011,Bille Woodruff,"Alyson Fouse, Blayne Weaver","Gee Alexander, Gerry Bednob, Aaron Benjamin, Ariana Berlin",Comedy,English,USA,110,696794
885,Power Rangers,2017,Dean Israelite,"John Gatins (screenplay by), Matt Sazama (story by), Burk Sharpless (story by), Michele Mulroney (story by), Kieran Mulroney (story by), Haim Saban (based upon ""Power Rangers"" created by), Saburo Yatsude (television series: ""Super Sentai""), Shotaro Ishinomori (television series: ""Super Sentai"")","Dacre Montgomery, Naomi Scott, RJ Cyler, Ludi Lin",Action,English,USA,124,85275488
886,M.S. Dhoni: The Untold Story,2016,Neeraj Pandey,"Neeraj Pandey (story and dialogue), Neeraj Pandey (screenplay), Dilip Jha (screenplay), Mohinder Pratap Singh (writing associate), Shyam Maheshwari (writing associate)","Sushant Singh Rajput, Kiara Advani, Anupam Kher, Disha Patani",Biography,Hindi,India,184,1782795
887,Queen to Play,2009,Caroline Bottaro,"Caroline Bottaro, Bertina Henrichs (novel)","Sandrine Bonnaire, Kevin Kline, Francis Renaud, Jennifer Beals",Drama,French,France,101,478572
888,Experimenter,2015,Michael Almereyda,Michael Almereyda,"John Palladino, Anthony Edwards, Jim Gaffigan, Peter Sarsgaard",Biography,English,USA,98,155075
889,Seven Days in Utopia,2011,Matthew Dean Russell,"David L. Cook (screenplay), Rob Levine (screenplay), Matthew Dean Russell (screenplay), Sandra Thrift (screenplay), David L. Cook (novel)","Robert Duvall, Lucas Black, Melissa Leo, Deborah Ann Woll",Drama,English,USA,100,4367448
890,Black Swan,2010,Darren Aronofsky,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)","Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",Drama,English,USA,108,106952327
892,Non-Stop,2014,Jaume Collet-Serra,"John W. Richardson (screenplay), Christopher Roach (screenplay), Ryan Engle (screenplay), John W. Richardson (story), Christopher Roach (story)","Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery",Action,English,UK,106,80432029
893,Gulliver's Travels,2010,Rob Letterman,"Joe Stillman (screenplay), Nicholas Stoller (screenplay), Jonathan Swift (book)","Jack Black, Jason Segel, Emily Blunt, Amanda Peet",Adventure,English,USA,85,42776259
894,Hyde Park on Hudson,2012,Roger Michell,Richard Nelson,"Bill Murray, Laura Linney, Samuel West, Olivia Colman",Biography,English,UK,94,6367780
896,Shrek Forever After,2010,Mike Mitchell,"William Steig (based upon the book by), Josh Klausner, Darren Lemke, Matthew Shire (Punch-Up Writer)","Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",Animation,English,USA,93,238319043
897,Alive Inside,2014,Michael Rossato-Bennett,Michael Rossato-Bennett,"Dan Cohen, Louise Dueno, Nell Hardie, Norman Hardie",Documentary,English,USA,78,150197
898,13 Assassins,2010,Takashi Miike,"Kaneo Ikegami (based on a screenplay by), Shoichirou Ikemiya (story), Daisuke Tengan (screenplay)","Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Ikki Sawamura",Action,Japanese,Japan,141,802524
899,Bajirao Mastani,2015,Sanjay Leela Bhansali,"Nagnath S. Inamdar (novel), Sanjay Leela Bhansali (additional writer), Prakash Kapadia","Ranveer Singh, Deepika Padukone, Priyanka Chopra, Tanvi Azmi",Action,Hindi,India,158,6557047
900,Song of Granite,2017,Pat Collins,"Pat Collins, Eoghan Mac Giolla Bhride, Sharon Whooley","Michael O'Chonfhlaola, Macdara O Fatharta, Jaren Cerf, Pol O Ceannabhain",Biography,Irish,Ireland,104,4230
901,The Cove,2009,Louie Psihoyos,Mark Monroe,"Richard O'Barry, Louie Psihoyos, Hardy Jones, Michael Illiff",Documentary,English,USA,92,619467
902,Billu,2009,Priyadarshan,"Manisha Korde (dialogue), Priyadarshan (screenplay), Mushtaq Sheikh (screenplay), Sreenivasan (story)","Irrfan Khan, Lara Dutta, Om Puri, Asrani",Comedy,Hindi,India,137,698910
903,Son of God,2014,Christopher Spencer,"Richard Bedser, Christopher Spencer, Colin Swash, Nic Young","Diogo Morgado, Greg Hicks, Adrian Schiller, Darwin Shaw",Biography,English,USA,138,46305287
904,Beloved Sisters,2014,Dominik Graf,Dominik Graf (screenplay),"Hannah Herzsprung, Florian Stetter, Henriette Confurius, Claudia Messner",Drama,German,Germany,138,34958
905,Mubarakan,2017,Anees Bazmee,"Rupinder Chahal (story), Rajesh Chawla (dialogue), Balwinder Singh Janjua (screenplay), Balwinder Singh Janjua (story)","Anil Kapoor, Arjun Kapoor, Ileana D'Cruz, Athiya Shetty",Comedy,Hindi,India,156,757057
906,A Cat in Paris,2010,"Jean-Loup Felicioli, Alain Gagnol","Alain Gagnol (screenplay), Jacques-Remy Girerd (dialogue), Alain Gagnol (dialogue)","Dominique Blanc, Bernadette Lafont, Bruno Salomone, Jean Benguigui",Animation,French,France,70,287709
907,Agent Vinod,2012,Sriram Raghavan,"Arijit Biswas (story), Sriram Raghavan (story)","Kareena Kapoor, Saif Ali Khan, Adil Hussain, Gulshan Grover",Action,Hindi,India,157,632446
909,The Light Between Oceans,2016,Derek Cianfrance,"Derek Cianfrance (written for the screen by), M.L. Stedman (novel)","Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery",Drama,English,UK,133,12533911
911,Zokkomon,2011,Satyajit Bhatkal,"Javed Akhtar (lyrics), Satyajit Bhatkal (story & screenplay), Svati Chakravarty Bhatkal (story & screenplay), Lancy Fernandes (story & screenplay), Divy Nidhi Sharma (dialogues)","Darsheel Safary, Anupam Kher, Manjari Fadnnis, Tinnu Anand",Action,Hindi,India,109,2815
912,Life of Crime,2013,Daniel Schechter,"Daniel Schechter (written for the screen by), Elmore Leonard (based on the book ""The Switch"" written by)","Jennifer Aniston, Yasiin Bey, Isla Fisher, Will Forte",Comedy,English,USA,98,261695
913,Mid-August Lunch,2008,Gianni Di Gregorio,"Gianni Di Gregorio (story), Simone Riccardini (story), Gianni Di Gregorio (screenplay)","Valeria De Franciscis, Marina Cacciotti, Maria Cali, Grazia Cesarini Sforza",Comedy,Italian,Italy,75,600000
914,A Dark Truth,2012,Damian Lee,Damian Lee,"Lloyd Adams, Alfredo Alvarez Calderon, Josh Bainbridge, Danielle Baker",Action,English,Canada,106,5750
916,Journey 2: The Mysterious Island,2012,Brad Peyton,"Brian Gunn (screenplay), Mark Gunn (screenplay), Richard Outten (story), Brian Gunn (story), Mark Gunn (story), Jules Verne (novel)","Dwayne Johnson, Michael Caine, Josh Hutcherson, Luis Guzman",Action,English,USA,94,103812241
917,The Gunman,2015,Pierre Morel,"Jean-Patrick Manchette (novel), Don MacPherson (screenplay), Pete Travis (screenplay), Sean Penn (screenplay)","Sean Penn, Jasmine Trinca, Javier Bardem, Ray Winstone",Action,English,USA,115,7926657
918,Daddy's Home Two,2017,Sean Anders,"Sean Anders, John Morris, Brian Burns (based on characters created by)","Will Ferrell, Mark Wahlberg, Mel Gibson, John Lithgow",Comedy,English,USA,100,102934995
919,Contraband,2012,Baltasar Kormakur,"Aaron Guzikowski (screenplay), Arnaldur Indridason (film ""Reykjavik-Rotterdam""), Oskar Jonasson (film ""Reykjavik-Rotterdam"")","Robert Wahlberg, Caleb Landry Jones, Jason Mitchell, Paul LeBlanc",Action,English,USA,109,66489425
920,Kingsman: The Secret Service,2014,Matthew Vaughn,"Jane Goldman (screenplay by), Matthew Vaughn (screenplay by), Mark Millar (based on the comic book ""The Secret Service"" by), Dave Gibbons (based on the comic book ""The Secret Service"" by)","Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies",Action,English,UK,129,119469511
921,A Dangerous Method,2011,David Cronenberg,"Christopher Hampton (screenplay), Christopher Hampton (play), John Kerr (book)","Keira Knightley, Viggo Mortensen, Michael Fassbender, Vincent Cassel",Biography,English,UK,99,5702083
922,Jawani Phir Nahi Ani,2015,Nadeem Beyg,Vasay Chaudhry,"Hamza Abbasi, Humayun Saeed, Vasay Chaudhry, Ahmad Ali Butt",Adventure,Urdu,Pakistan,156,2256403
923,After the Ball,2015,Sean Garrity,"Jason Sherman (screenplay), Kate Melville (screenplay), Jason Sherman (story), Lana Griffin (story editor), Katie Ford (story consultant), Diane Flacks (story consultant), Albert Howell (story consultant), Rob Stefaniuk (story consultant), Sarah Constible (story consultant)","Portia Doubleday, Marc-Andre Grondin, Chris Noth, Lauren Holly",Comedy,English,Canada,101,160165
924,Beyond the Black Rainbow,2010,Panos Cosmatos,Panos Cosmatos,"Michael Rogers, Eva Bourne, Scott Hylands, Rondel Reynoldson",Horror,English,Canada,110,56129
925,My Little Pony: The Movie,2017,Jayson Thiessen,"Meghan McCarthy (story by), Joe Ballarini (story by), Meghan McCarthy (screenplay by), Rita Hsiao (screenplay by), Michael Vogel (screenplay by), Lauren Faust (based on the television series created by)","Uzo Aduba, Ashleigh Ball, Adam Bengis, Emily Blunt",Animation,English,USA,99,21732671
926,Safe Haven,2013,Lasse Hallstrom,"Dana Stevens (screenplay), Gage Lansky (screenplay), Nicholas Sparks (based upon the novel by)","Julianne Hough, Irene Ziegler, Jon Kohler, Tim Parati",Drama,English,USA,115,71100000
928,Micmacs,2009,Jean-Pierre Jeunet,"Jean-Pierre Jeunet (scenario), Guillaume Laurant (scenario), Guillaume Laurant (dialogue)","Dany Boon, Andre Dussollier, Yolande Moreau, Dominique Pinon",Action,French,France,105,1260917
929,The Road,2009,John Hillcoat,"Joe Penhall (screenplay by), Cormac McCarthy (based on the book by)","Viggo Mortensen, Kodi Smit-McPhee, Robert Duvall, Guy Pearce",Adventure,English,USA,111,8025059
930,A Ghost Story,2017,David Lowery,David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson",Drama,English,USA,92,1594798
931,Manny Lewis,2015,Anthony Mir,"Carl Barron, Anthony Mir, Carl Barron (story)","Carl Barron, Leeanna Walsman, Roy Billing, Damien Garvey",Comedy,English,Australia,89,205435
932,Jason Bourne,2016,Paul Greengrass,"Paul Greengrass, Christopher Rouse, Robert Ludlum (based on characters created by)","Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel",Action,English,USA,123,162162120
933,A Beginner's Guide to Snuff,2016,Mitchell Altieri,"Cory Knauf, Adam Weis, Mitchell Altieri, Cory Knauf (story), Phil Flores (story), Mitchell Altieri (story)","Joey Kern, Luke Edwards, Bree Williamson, Brad Greenquist",Comedy,English,USA,87,5204
