Title,Year,Genre,Director,Writer,Actors,Language,Country,Runtime,BoxOffice
Agent Vinod,2012,Action,Sriram Raghavan,Arijit Biswas ,Kareena Kapoor,Hindi,India,157,632446
The Warrior's Way,2010,Action,Sngmoo Lee,Sngmoo Lee,Dong-Gun Jang,English,New Zealand,100,5664251
The Light Between Oceans,2016,Drama,Derek Cianfrance,Derek Cianfrance ,Michael Fassbender,English,UK,133,12533911
The Best Offer,2013,Crime,Giuseppe Tornatore,Giuseppe Tornatore ,Geoffrey Rush,English,Italy,131,85433
Zokkomon,2011,Action,Satyajit Bhatkal,Javed Akhtar ,Darsheel Safary,Hindi,India,109,2815
Life of Crime,2013,Comedy,Daniel Schechter,Daniel Schechter ,Jennifer Aniston,English,USA,98,261695
Mid-August Lunch,2008,Comedy,Gianni Di Gregorio,Gianni Di Gregorio ,Valeria De Franciscis,Italian,Italy,75,600000
A Dark Truth,2012,Action,Damian Lee,Damian Lee,Lloyd Adams,English,Canada,106,5750
No,2012,Drama,Pablo Larrain,Pedro Peirano ,Gael Garcia Bernal,Spanish,Chile,118,2341226
Journey 2: The Mysterious Island,2012,Action,Brad Peyton,Brian Gunn ,Dwayne Johnson,English,USA,94,103812241
The Gunman,2015,Action,Pierre Morel,Jean-Patrick Manchette ,Sean Penn,English,USA,115,7926657
Daddy's Home Two,2017,Comedy,Sean Anders,Sean Anders,Will Ferrell,English,USA,100,102934995
Contraband,2012,Action,Baltasar Kormakur,Aaron Guzikowski ,Robert Wahlberg,English,USA,109,66489425
Kingsman: The Secret Service,2014,Action,Matthew Vaughn,Jane Goldman ,Adrian Quinton,English,UK,129,119469511
A Dangerous Method,2011,Biography,David Cronenberg,Christopher Hampton ,Keira Knightley,English,UK,99,5702083
Jawani Phir Nahi Ani,2015,Adventure,Nadeem Beyg,Vasay Chaudhry,Hamza Abbasi,Urdu,Pakistan,156,2256403
After the Ball,2015,Comedy,Sean Garrity,Jason Sherman ,Portia Doubleday,English,Canada,101,160165
Beyond the Black Rainbow,2010,Horror,Panos Cosmatos,Panos Cosmatos,Michael Rogers,English,Canada,110,56129
My Little Pony: The Movie,2017,Animation,Jayson Thiessen,Meghan McCarthy ,Uzo Aduba,English,USA,99,21732671
Safe Haven,2013,Drama,Lasse Hallstrom,Dana Stevens ,Julianne Hough,English,USA,115,71100000
Father Figures,2017,Adventure,Lawrence Sher,Justin Malen,Robert Jon Mello,English,USA,113,16772934
Micmacs,2009,Action,Jean-Pierre Jeunet,Jean-Pierre Jeunet ,Dany Boon,French,France,105,1260917
The Road,2009,Adventure,John Hillcoat,Joe Penhall ,Viggo Mortensen,English,USA,111,8025059
And Everything Is Going Fine,2010,Documentary,Steven Soderbergh,unknown,Spalding Gray,English,USA,89,21073
A Ghost Story,2017,Drama,David Lowery,David Lowery,Casey Affleck,English,USA,92,1594798
Smash & Grab: The Story of the Pink Panthers,2013,Documentary,Havana Marking,unknown,Tomislav Tom Benzon,English,UK,89,18658
Manny Lewis,2015,Comedy,Anthony Mir,Carl Barron,Carl Barron,English,Australia,89,205435
Jason Bourne,2016,Action,Paul Greengrass,Paul Greengrass,Matt Damon,English,USA,123,162162120
A Beginner's Guide to Snuff,2016,Comedy,Mitchell Altieri,Cory Knauf,Joey Kern,English,USA,87,5204
Butter,2011,Comedy,Jim Field Smith,Jason A. Micallef,Jennifer Garner,English,USA,90,70931
Potiche,2010,Comedy,Francois Ozon,Francois Ozon ,Catherine Deneuve,French,France,103,900000
On the Road,2012,Adventure,Walter Salles,Jack Kerouac ,Sam Riley,English,France,124,665094
[REC] 4: Apocalypse,2014,Horror,Jaume Balaguero,Jaume Balaguero ,Manuela Velasco,Spanish,Spain,95,708
The Back-up Plan,2010,Comedy,Alan Poul,Kate Angelo,Jennifer Lopez,English,USA,104,37481242
The Forest,2016,Horror,Jason Zada,Nick Antosca,Natalie Dormer,English,USA,93,21818536
Please Give,2010,Comedy,Nicole Holofcener,Nicole Holofcener,Rebecca Hall,English,USA,87,4033268
Ponyo,2008,Animation,Hayao Miyazaki,Hayao Miyazaki,Tomoko Yamaguchi,Japanese,Japan,101,15100000
My All-American,2015,Biography,Angelo Pizzo,Angelo Pizzo,Aaron Eckhart,English,USA,118,1365000
Django Unchained,2012,Drama,Quentin Tarantino,Quentin Tarantino,Jamie Foxx,English,USA,165,162804648
A Band Called Death,2012,Documentary,Mark Christopher Covino,unknown,Dannis Hackney,English,USA,96,125856
Safe House,2012,Action,Daniel Espinosa,David Guggenheim,Denzel Washington,English,South Africa,115,126149655
Boyhood,2014,Drama,Richard Linklater,Richard Linklater,Ellar Coltrane,English,USA,165,18859617
Guardians of the Galaxy,2014,Action,James Gunn,James Gunn,Chris Pratt,English,USA,121,270592504
Racing Dreams,2009,Documentary,Marshall Curry,Marshall Curry,Annabeth Barnes,English,USA,93,5529
Coco Chanel & Igor Stravinsky,2009,Drama,Jan Kounen,Chris Greenhalgh ,Mads Mikkelsen,French,France,119,1724882
The Girl with the Dragon Tattoo,2011,Crime,David Fincher,Steven Zaillian ,Daniel Craig,English,USA,158,102515793
Detective Byomkesh Bakshy!,2015,Action,Dibakar Banerjee,Urmi Juvekar,Sushant Singh Rajput,Hindi,India,139,579055
Twelve,2010,Action,Joel Schumacher,Jordan Melamed ,Chace Crawford,English,USA,93,18159100
A Beautiful Now,2015,Comedy,Daniela Amavia,Daniela Amavia,Abigail Spencer,English,USA,90,1504
The Informant!,2009,Biography,Steven Soderbergh,Scott Z. Burns ,Matt Damon,English,USA,108,33278731
What's Your Number?,2011,Comedy,Mark Mylod,Karyn Bosnak ,Anna Faris,English,USA,106,14008193
Like Crazy,2011,Drama,Drake Doremus,Drake Doremus,Anton Yelchin,English,USA,86,3388210
The Sessions,2012,Biography,Ben Lewin,Ben Lewin ,John Hawkes,English,USA,95,5997134
The Forbidden Kingdom,2008,Action,Rob Minkoff,John Fusco,Jet Li,English,USA,104,40044561
Star Wars: Episode VII - The Force Awakens,2015,Action,J.J. Abrams,Lawrence Kasdan,Harrison Ford,English,USA,136,936658640
Exit Through the Gift Shop,2010,Documentary,Banksy,unknown,Banksy,English,UK,87,3288699
Populaire,2012,Comedy,Regis Roinsard,Regis Roinsard ,Romain Duris,French,France,111,119375
Adult World,2013,Comedy,Scott Coffey,Andy Cochran,Emma Roberts,English,USA,97,16740
Crude,2009,Documentary,Joe Berlinger,unknown,Dan Ashley,English,USA,105,170295
The Virginity Hit,2010,Comedy,Huck Botko,Andrew Gurland,Matt Bennett,English,USA,86,535249
Young Goethe in Love,2010,Drama,Philipp Stolzl,Alexander Dydyna ,Alexander Fehling,German,Germany,102,160392
Vincere,2009,Biography,Marco Bellocchio,Marco Bellocchio ,Giovanna Mezzogiorno,Italian,Italy,128,600000
En Equilibre,2015,Drama,Denis Dercourt,Denis Dercourt ,Albert Dupontel,French,France,87,809
Cock and Bull,2016,Crime,Baoping Cao,unknown,Ye Liu,Chinese,China,110,82215
A Better Life,2011,Drama,Chris Weitz,Eric Eason ,Demian Bichir,English,USA,98,1754319
The Good Guy,2009,Comedy,Julio DePietro,Julio DePietro,Alexis Bledel,English,USA,90,34712
Toni Erdmann,2016,Comedy,Maren Ade,Maren Ade ,Sandra Huller,German,Germany,162,1478960
Cold Souls,2009,Comedy,Sophie Barthes,Sophie Barthes,Paul Giamatti,English,USA,101,700980
Larry Crowne,2011,Comedy,Tom Hanks,Tom Hanks,Tom Hanks,English,USA,98,35565975
Due Date,2010,Adventure,Todd Phillips,Alan R. Cohen ,Robert Downey Jr.,English,USA,95,100448498
Same Kind of Different as Me,2017,Biography,Michael Carney,Michael Carney ,Greg Kinnear,English,USA,119,6410279
Return to Nuke 'Em High Volume 1,2013,Comedy,Lloyd Kaufman,Travis Campbell,Asta Paredes,English,USA,85,4735
The Hitman's Bodyguard,2017,Action,Patrick Hughes,Tom O'Connor,Elodie Yung,English,USA,118,75020039
Freetown,2015,Action,Garrett Batty,Melissa Leilani Larson,Henry Adofo,English,USA,113,7916886
Rock of Ages,2012,Comedy,Adam Shankman,Justin Theroux ,Julianne Hough,English,USA,123,38509342
Our Family Wedding,2010,Comedy,Rick Famuyiwa,Wayne Conley ,Forest Whitaker,English,USA,103,18602225
The Killing of a Sacred Deer,2017,Drama,Yorgos Lanthimos,Yorgos Lanthimos,Barry G. Bernson,English,Ireland,121,1955883
"3 1/2  Minutes, Ten Bullets",2015,Documentary,Marc Silver,Marc Silver,Lucia McBath,English,USA,98,18493
30 Minutes or Less,2011,Action,Ruben Fleischer,Michael Diliberti ,Jesse Eisenberg,English,USA,83,37100000
Fruitvale Station,2013,Biography,Ryan Coogler,Ryan Coogler,Michael B. Jordan,English,USA,85,11010136
Mere Brother Ki Dulhan,2011,Comedy,Ali Abbas Zafar,Ali Abbas Zafar,Imran Khan,Hindi,India,139,399429
The Outrage,2010,Action,Takeshi Kitano,Takeshi Kitano ,Takeshi Kitano,Japanese,Japan,109,29633
Girls Against Boys,2012,Drama,Austin Chick,Austin Chick,Nicole LaLiberte,English,USA,93,6111
Tomorrowland,2015,Action,Brad Bird,Damon Lindelof ,George Clooney,English,USA,130,71526443
True Legend,2010,Action,Woo-Ping Yuen,Chi-long To ,Wenzhuo Zhao,Mandarin,China,115,62199
The Witch,2015,Horror,Robert Eggers,Robert Eggers,Anya Taylor-Joy,English,UK,92,19239494
Enemy,2013,Mystery,Denis Villeneuve,Jose Saramago ,Jake Gyllenhaal,English,Canada,91,455421
Skin Trade,2014,Action,Ekachai Uekrongtham,Dolph Lundgren ,Dolph Lundgren,English,Thailand,96,1242
One for the Money,2012,Action,Julie Anne Robinson,Stacy Sherman ,Katherine Heigl,English,USA,91,26100000
Suffragette,2015,Biography,Sarah Gavron,Abi Morgan,Anne-Marie Duff,English,UK,106,7189725
Jumper,2008,Action,Doug Liman,David S. Goyer ,Hayden Christensen,English,USA,88,80055499
Ghost in the Shell,2017,Action,Rupert Sanders,Shirow Masamune ,Scarlett Johansson,English,USA,107,40533014
The Monk,2011,Drama,Dominik Moll,Matthew Lewis ,Vincent Cassel,French,Spain,101,8418
Pawn Sacrifice,2014,Biography,Edward Zwick,Steven Knight ,Tobey Maguire,English,USA,115,1696603
Danny Collins,2015,Biography,Dan Fogelman,Dan Fogelman,Al Pacino,English,USA,106,4242318
Limitless,2011,Mystery,Neil Burger,Leslie Dixon ,Bradley Cooper,English,USA,105,79230923
Leatherheads,2008,Comedy,George Clooney,Duncan Brantley,John Krasinski,English,USA,114,31199215
I Am Divine,2013,Documentary,Jeffrey Schwarz,unknown,Divine,English,USA,90,60003
Take Me Home,2011,Comedy,Sam Jaeger,Sam Jaeger,Amber Jaeger,English,USA,97,15374
"I Love You, Beth Cooper",2009,Comedy,Chris Columbus,Larry Doyle ,Hayden Panettiere,English,Canada,102,14800000
It's a Disaster,2012,Comedy,Todd Berger,Todd Berger,Rachel Boston,English,USA,88,57216
Yuvvraaj,2008,Comedy,Subhash Ghai,Sachin Bhowmick ,Salman Khan,Hindi,India,151,565440
Crazy on the Outside,2010,Comedy,Tim Allen,Judd Pillot,Tim Allen,English,USA,96,64438
Split,2016,Horror,M. Night Shyamalan,M. Night Shyamalan,James McAvoy,English,USA,117,138120085
The X Files: I Want to Believe,2008,Drama,Chris Carter,Frank Spotnitz,David Duchovny,English,USA,104,20847266
Holy Rollers,2010,Biography,Kevin Asch,Antonio Macia,Jesse Eisenberg,English,USA,89,302886
Vicky Cristina Barcelona,2008,Drama,Woody Allen,Woody Allen,Rebecca Hall,English,Spain,96,23164041
One Me and One You,2012,Comedy,Shakun Batra,Shakun Batra,Kareena Kapoor,Hindi,India,110,1153360
I Kissed a Vampire,2010,Musical,Chris Nolan,Chris Nolan ,Lucas Grabeel,English,USA,91,1380
Changeling,2008,Biography,Clint Eastwood,J. Michael Straczynski,Angelina Jolie,English,USA,141,35707327
Chalet Girl,2011,Comedy,Phil Traill,Tom Williams ,Miquita Oliver,English,UK,97,1201
Broken City,2013,Crime,Allen Hughes,Brian Tucker,Mark Wahlberg,English,USA,109,19600000
Unsullied,2014,Action,Simeon Rice,John Nodilo,Rusty Joiner,English,USA,93,8220
A Monster with a Thousand Heads,2015,Drama,Rodrigo Pla,Laura Santullo,Jana Raluy,Spanish,Mexico,74,18069
Chandni Chowk to China,2009,Action,Nikkhil Advani,Rajat Arora ,Mithun Chakraborty,Hindi,India,154,869611
The Raid: Redemption,2011,Action,Gareth Evans,Gareth Evans,Iko Uwais,Indonesian,Indonesia,101,1200000
Escape Fire: The Fight to Rescue American Healthcare,2012,Documentary,Susan Froemke,unknown,Clive Alonzo,English,USA,95,97316
Kill Your Friends,2015,Comedy,Owen Harris,John Niven ,Nicholas Hoult,English,UK,103,204442
Mortdecai,2015,Action,David Koepp,Eric Aronson ,Johnny Depp,English,UK,107,6847536
Sympathy for Delicious,2010,Drama,Mark Ruffalo,Christopher Thornton,Christopher Thornton,English,USA,96,13114
Sound of My Voice,2011,Drama,Zal Batmanglij,Zal Batmanglij,Christopher Denham,English,USA,85,300000
Our Nixon,2013,Documentary,Penny Lane,unknown,Richard Nixon,English,USA,84,19249
X-Men: Days of Future Past,2014,Action,Bryan Singer,Simon Kinberg ,Hugh Jackman,English,USA,132,199305306
A.C.O.D.,2013,Comedy,Stuart Zicherman,Ben Karlin,Adam Scott,English,USA,88,123368
The Maiden Heist,2009,Comedy,Peter Hewitt,Michael LeSieur,Christopher Walken,English,USA,90,481378
Hell and Back Again,2011,Documentary,Danfung Dennis,unknown,Nathan Harris,English,USA,88,37539
Haywire,2011,Action,Steven Soderbergh,Lem Dobbs,Gina Carano,English,Ireland,93,18934858
Bettie Page Reveals All,2012,Documentary,Mark Mori,Douglas Miller,Bettie Page,English,USA,101,102378
3 Idiots,2009,Comedy,Rajkumar Hirani,Rajkumar Hirani ,Aamir Khan,Hindi,India,170,6500000
The Apparition,2012,Horror,Todd Lincoln,Todd Lincoln,Ashley Greene,English,USA,82,4700000
Wrath of the Titans,2012,Action,Jonathan Liebesman,Dan Mazeau ,Sam Worthington,English,Spain,99,83640426
If a Tree Falls: A Story of the Earth Liberation Front,2011,Documentary,Marshall Curry,Marshall Curry,Daniel McGowan,English,USA,85,61153
ParaNorman,2012,Animation,Chris Butler,Chris Butler,Kodi Smit-McPhee,English,USA,92,55994557
The To Do List,2013,Comedy,Maggie Carey,Maggie Carey,Aubrey Plaza,English,USA,104,3400000
Star Trek Into Darkness,2013,Action,J.J. Abrams,Roberto Orci,Chris Pine,English,USA,132,228756232
The Beguiled,2017,Drama,Sofia Coppola,Sofia Coppola ,Colin Farrell,English,USA,93,10542504
American Hustle,2013,Crime,David O. Russell,Eric Warren Singer,Christian Bale,English,USA,138,99165609
Love in the Buff,2012,Comedy,Ho-Cheung Pang,Jody Luk,Miriam Chin Wah Yeung,Cantonese,Hong Kong,112,254712
Blackthorn,2011,Action,Mateo Gil,Miguel Barros ,Sam Shepard,English,Spain,102,131979
The Day He Arrives,2011,Drama,Sang-soo Hong,Sang-soo Hong,Joon-Sang Yoo,Korean,South Korea,79,3311
21,2008,Crime,Robert Luketic,Peter Steinfeld ,Jim Sturgess,English,USA,123,81159365
"Love, Wedding, Marriage",2011,Comedy,Dermot Mulroney,Anouska Chydzik,Mandy Moore,English,USA,90,1378
"Pink Ribbons, Inc.",2011,Documentary,Lea Pool,Patricia Kearns,unknown,English,Canada,97,24784
Paradise: Love,2012,Drama,Ulrich Seidl,Ulrich Seidl ,Margarete Tiesel,German,Austria,120,16952
Batman: The Killing Joke,2016,Animation,Sam Liu,Brian Azzarello,Kevin Conroy,English,USA,76,442331
Submarine,2010,Comedy,Richard Ayoade,Richard Ayoade,Noah Taylor,English,UK,97,400000
Thunder Soul,2010,Documentary,Mark Landsman,unknown,Craig Baldwin,English,USA,83,110870
Captain Fantastic,2016,Comedy,Matt Ross,Matt Ross,Viggo Mortensen,English,USA,118,5875006
Train to Busan,2016,Action,Sang-ho Yeon,Joo-Suk Park,Yoo Gong,Korean,South Korea,118,2129768
The Masked Saint,2016,Action,Warren P. Sonoda,Scott Crowell,Brett Granstaff,English,Canada,105,181609
Dance Flick,2009,Action,Damien Dante Wayans,Keenen Ivory Wayans,Shoshana Bush,English,USA,83,25615792
Detroit,2017,Crime,Kathryn Bigelow,Mark Boal,Chris Chalk,English,USA,143,16788494
Creed,2015,Drama,Ryan Coogler,Ryan Coogler ,Michael B. Jordan,English,USA,133,81157671
Best of Enemies: Buckley vs. Vidal,2015,Documentary,Robert Gordon,Robert Gordon,Paul Newman,English,USA,87,891997
Monte Carlo,2011,Adventure,Thomas Bezucha,Thomas Bezucha ,Selena Gomez,English,Hungary,109,22500000
"Men, Women & Children",2014,Comedy,Jason Reitman,Jason Reitman ,Adam Sandler,English,USA,119,536272
Summer Hours,2008,Drama,Olivier Assayas,Olivier Assayas,Juliette Binoche,French,France,103,1566427
Rebel in the Rye,2017,Biography,Danny Strong,Danny Strong,Nicholas Hoult,English,USA,106,354363
Zhongkui: Snow Girl and the Dark Crystal,2015,Action,Peter Pau,Junli Guo,Kun Chen,Mandarin,China,118,165428
Clandestine Childhood,2011,Drama,Benjamin Avila,Benjamin Avila ,Ernesto Alterio,Spanish,Argentina,112,9017
The Mortal Instruments: City of Bones,2013,Action,Harald Zwart,Jessica Postigo ,Lily Collins,English,USA,130,31165421
The Wackness,2008,Comedy,Jonathan Levine,Jonathan Levine,Ben Kingsley,English,UK,99,2100000
Untraceable,2008,Crime,Gregory Hoblit,Robert Fyvolent ,Diane Lane,English,USA,101,28687835
"Lebanon, Pa.",2010,Drama,Ben Hickernell,Ben Hickernell,Josh Hopkins,Arabic,USA,100,44674
Black Mass,2015,Biography,Scott Cooper,Mark Mallouk ,Johnny Depp,English,USA,123,48786443
A Teacher,2013,Drama,Hannah Fidell,Hannah Fidell,Lindsay Burdge,English,USA,75,4000
Keep Quiet,2016,Documentary,Sam Blair,unknown,Csanad Szegedi,English,UK,90,50451
Escape Plan,2013,Action,Mikael Hafstrom,Miles Chapman ,Sylvester Stallone,English,USA,115,18645489
Bitter Harvest,2017,Drama,George Mendeluk,Richard Bachynsky Hoover ,Max Irons,English,Canada,103,557004
Anchorman 2: The Legend Continues,2013,Comedy,Adam McKay,Will Ferrell,Will Ferrell,English,USA,119,76820043
Jack Ryan: Shadow Recruit,2014,Action,Kenneth Branagh,Adam Cozad,Chris Pine,English,USA,105,43003831
Rio,2011,Animation,Carlos Saldanha,Carlos Saldanha ,Karen Disher,English,USA,96,143613651
Downloaded,2013,Documentary,Alex Winter,Alex Winter,Henry Rollins,English,USA,106,8278
Polisse,2011,Crime,Maiwenn,Maiwenn ,Karin Viard,French,France,127,100000
You've Been Trumped,2011,Documentary,Anthony Baxter,Richard Phinney,Anthony Baxter,English,UK,79,28450
Gnomeo & Juliet,2011,Animation,Kelly Asbury,Rob Sprackling ,James McAvoy,English,UK,84,99808609
Beyond the Mask,2015,Action,Chad Burns,Paul McCusker ,Andrew Cheney,English,USA,103,1231025
The Music Never Stopped,2011,Drama,Jim Kohlberg,Gwyn Lurie ,J.K. Simmons,English,USA,105,258077
Meet Me in Montenegro,2014,Comedy,Alex Holdridge,Alex Holdridge,Alex Holdridge,English,USA,90,7367
Lovesong,2016,Drama,So Yong Kim,So Yong Kim,Riley Keough,English,USA,84,10545
A Single Man,2009,Drama,Tom Ford,Christopher Isherwood ,Colin Firth,English,USA,99,9098668
Jimmy Vestvood: Amerikan Hero,2016,Comedy,Jonathan Kesselman,Maz Jobrani,Maz Jobrani,English,USA,84,201638
Frozen,2013,Animation,Chris Buck,Jennifer Lee ,Kristen Bell,English,USA,102,400736600
The Love Punch,2013,Comedy,Joel Hopkins,Joel Hopkins,Emma Thompson,English,France,94,1105254
Hugo,2011,Adventure,Martin Scorsese,John Logan ,Ben Kingsley,English,USA,126,73820094
Pele: Birth of a Legend,2016,Biography,Jeff Zimbalist,Jeff Zimbalist,Kevin de Paula,English,USA,107,40073
The Black Panthers: Vanguard of the Revolution,2015,Documentary,Stanley Nelson,Stanley Nelson,Angela Arnold,English,USA,115,234644
More Than a Game,2008,Documentary,Kristopher Belman,Kristopher Belman,LeBron James,English,USA,105,887029
Once Upon a Time in Mumbai,2010,Action,Milan Luthria,Rajat Arora,Ajay Devgn,Hindi,India,134,302862
Tropic Thunder,2008,Action,Ben Stiller,Justin Theroux ,Jeff Kahn,English,USA,107,110416702
Coco,2017,Animation,Lee Unkrich,Lee Unkrich ,Anthony Gonzalez,English,USA,105,208487719
ATM,2012,Horror,David Brooks,Chris Sparling ,Brian Geraghty,English,USA,90,2034
Desert Flower,2009,Biography,Sherry Hormann,Smita Bhide ,Soraya Omar-Scego,English,UK,120,29425
The Amazing Spider-Man,2012,Action,Marc Webb,James Vanderbilt ,Andrew Garfield,English,USA,136,262030663
Kon-Tiki,2012,Adventure,Joachim Ronning,Petter Skavlan,Pal Sverre Hagen,Norwegian,UK,118,1511798
Daybreakers,2009,Action,Michael Spierig,Michael Spierig,Harriet Minto-Day,English,Australia,98,30000000
Our Family Wedding,2010,Comedy,Rick Famuyiwa,Wayne Conley ,Forest Whitaker,English,USA,103,18602225
Funny People,2009,Comedy,Judd Apatow,Judd Apatow,Adam Sandler,English,USA,146,51814190
All the Money in the World,2017,Biography,Ridley Scott,David Scarpa,Michelle Williams,English,USA,132,20153135
The Good Dinosaur,2015,Animation,Peter Sohn,Bob Peterson ,Jeffrey Wright,English,USA,93,123087120
Masterminds,2016,Action,Jared Hess,Chris Bowman ,Zach Galifianakis,English,USA,95,17356894
Beastly,2011,Drama,Daniel Barnz,Daniel Barnz ,Alex Pettyfer,English,USA,86,27854896
A People Uncounted,2011,Documentary,Aaron Yeger,Aaron Yeger,unknown,English,Canada,99,390
The Sapphires,2012,Biography,Wayne Blair,Keith Thompson,Tanika Lonesborough,English,Australia,103,2400000
Inventing Our Life: The Kibbutz Experiment,2010,Documentary,Toby Perl Freilich,Toby Perl Freilich,unknown,English,USA,79,14413
Being Elmo: A Puppeteer's Journey,2011,Documentary,Constance Marks,Philip Shane,Whoopi Goldberg,English,USA,80,302652
The Pruitt-Igoe Myth,2011,Documentary,Chad Freidrichs,Chad Freidrichs ,Slyvester Brown,English,USA,79,44683
Sex Drive,2008,Adventure,Sean Anders,Sean Anders ,Josh Zuckerman,English,USA,109,8364827
Paul,2011,Adventure,Greg Mottola,Simon Pegg,Mia Stallard,English,USA,104,37371385
Penguins of Madagascar,2014,Animation,Eric Darnell,Michael Colton ,Tom McGrath,English,USA,92,70727688
Dirty Grandpa,2016,Comedy,Dan Mazer,John Phillips,Robert De Niro,English,USA,102,34690808
The Right Kind of Wrong,2013,Comedy,Jeremiah S. Chechik,Tim Sandlin ,Ryan Kwanten,English,Canada,97,2022
Our Man in Tehran,2013,Documentary,Drew Taylor,Drew Taylor,Assadollah Alam,English,Canada,85,2333
Ghost Team,2016,Comedy,Oliver Irving,Peter Warren ,Jon Heder,English,USA,83,8069
Narco Cultura,2013,Documentary,Shaul Schwarz,unknown,unknown,English,USA,103,144405
Margin Call,2011,Drama,J.C. Chandor,J.C. Chandor,Kevin Spacey,English,USA,107,600000
Sin City: A Dame to Kill For,2014,Crime,Frank Miller,Frank Miller,Mickey Rourke,English,USA,102,11064709
The Way Way Back,2013,Comedy,Nat Faxon,Nat Faxon,Steve Carell,English,USA,103,21501098
Inside Job,2010,Documentary,Charles Ferguson,Charles Ferguson,Matt Damon,English,USA,109,4311834
I Give It a Year,2013,Comedy,Dan Mazer,Dan Mazer ,Rose Byrne,English,UK,97,5851913
Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008,Documentary,Alex Gibney,Alex Gibney ,Hunter S. Thompson,English,USA,120,1031095
The Mighty Macs,2009,Drama,Tim Chambers,Tim Chambers ,Carla Gugino,English,USA,99,1889522
The Love Guru,2008,Comedy,Marco Schnabel,Mike Myers,Jessica Simpson,English,UK,87,32178777
The Curious Case of Benjamin Button,2008,Drama,David Fincher,Eric Roth ,Cate Blanchett,English,USA,166,127490802
Man Up,2015,Comedy,Ben Palmer,Tess Morris,Lake Bell,English,UK,88,857215
A Little Help,2010,Comedy,Michael J. Weithorn,Michael J. Weithorn,Jenna Fischer,English,USA,109,85789
Ixcanul,2015,Drama,Jayro Bustamante,Jayro Bustamante,Maria Mercedes Coroy,Maya,Guatemala,93,292923
Turn It Around: The Story of East Bay Punk,2017,Documentary,Corbett Redford,Anthony Marchitiello,Iggy Pop,English,USA,155,53735
While We're Young,2014,Comedy,Noah Baumbach,Noah Baumbach,Naomi Watts,English,USA,97,7008208
StreetDance: All Stars,2013,Comedy,Ben Gregor,Paul Gerstenberger,Theo Stevenson,English,UK,106,760142
That Evening Sun,2009,Drama,Scott Teems,Scott Teems ,Hal Holbrook,English,USA,109,83803
Moonrise Kingdom,2012,Adventure,Wes Anderson,Wes Anderson,Bruce Willis,English,USA,94,45507865
Burke and Hare,2010,Comedy,John Landis,Piers Ashworth,Bill Bailey,English,UK,91,947
Bronson,2008,Action,Nicolas Winding Refn,Brock Norman Brock ,Tom Hardy,English,UK,92,100000
The Wrestler,2008,Drama,Darren Aronofsky,Robert Siegel,Mickey Rourke,English,USA,109,26136413
Boychoir,2014,Drama,Francois Girard,Ben Ripley,Dustin Hoffman,English,USA,103,191891
The Promise,2016,Drama,Terry George,Terry George,Oscar Isaac,English,Spain,133,8186236
Billy Lynn's Long Halftime Walk,2016,Action,Ang Lee,Ben Fountain ,Joe Alwyn,English,UK,113,1736708
Middle School: The Worst Years of My Life,2016,Animation,Steve Carr,Chris Bowman ,Griffin Gluck,English,USA,92,19985196
Ride Along,2014,Action,Tim Story,Greg Coolidge ,Ice Cube,English,USA,99,110374905
Fast & Furious 6,2013,Action,Justin Lin,Chris Morgan,Vin Diesel,English,USA,130,238700000
Bad Moms,2016,Comedy,Jon Lucas,Jon Lucas,Mila Kunis,English,USA,100,113217955
Contagion,2011,Drama,Steven Soderbergh,Scott Z. Burns,Gwyneth Paltrow,English,USA,106,75638743
Dark Places,2015,Action,Gilles Paquet-Brenner,Gilles Paquet-Brenner ,Charlize Theron,English,UK,113,129483
Greedy Lying Bastards,2012,Documentary,Craig Scott Rosebraugh,Patrick Gambuti Jr.,Enoch Adams,English,USA,90,45000
The Cabin in the Woods,2011,Comedy,Drew Goddard,Joss Whedon,Kristen Connolly,English,USA,95,42043633
The Disappointments Room,2016,Drama,D.J. Caruso,Wentworth Miller,Kate Beckinsale,English,USA,85,2411580
Live by Night,2016,Action,Ben Affleck,Ben Affleck ,Ben Affleck,English,USA,129,10377558
Cirkus Columbia,2010,Comedy,Danis Tanovic,Ivica Djikic ,Predrag 'Miki' Manojlovic,Bosnian,Bosnia and Herzegovina,113,3163
Olympus Has Fallen,2013,Action,Antoine Fuqua,Creighton Rothenberger,Gerard Butler,English,USA,119,98600000
Molly's Game,2017,Biography,Aaron Sorkin,Aaron Sorkin ,Jessica Chastain,English,China,140,28744803
Father,2009,Comedy,R. Balki,R. Balki,Amitabh Bachchan,Hindi,India,133,199228
Nobody Walks,2012,Drama,Ry Russo-Young,Lena Dunham,John Krasinski,English,USA,83,24995
Peter Rabbit,2018,Animation,Will Gluck,Rob Lieber ,James Corden,English,USA,95,84060376
Soul Power,2008,Documentary,Jeffrey Kusama-Hinte,unknown,Muhammad Ali,English,USA,92,200000
Crown Heights,2017,Biography,Matt Ruskin,Matt Ruskin,Luke Forbes,English,USA,94,236439
Jeremy Scott: The People's Designer,2015,Documentary,Vlad Yudin,unknown,Jeremy Scott,English,USA,110,225000
High School,2010,Comedy,John Stalberg Jr.,Erik Linthorst ,Adrien Brody,English,USA,99,100000
Songs My Brothers Taught Me,2015,Drama,Chloe Zhao,Chloe Zhao,John Reddy,English,USA,98,34195
