Title,Year,Genre,Director,Writer,Actors,Language,Country,Runtime,BoxOffice
Cave of Forgotten Dreams,2010,Documentary,Werner Herzog,Werner Herzog,Werner Herzog,English,Canada,90,5234785
Night Catches Us,2010,Drama,Tanya Hamilton,Tanya Hamilton,Anthony Mackie,English,USA,90,75343
Griff the Invisible,2010,Comedy,Leon Ford,Leon Ford,Ryan Kwanten,English,Australia,90,20906
Nostalgia for the Light,2010,Documentary,Patricio Guzman,Patricio Guzman,Gaspar Galaz,Spanish,France,90,96142
Flipped,2010,Comedy,Rob Reiner,Rob Reiner ,Madeline Carroll,English,USA,90,1752214
Saw 3D: The Final Chapter,2010,Crime,Kevin Greutert,Patrick Melton,Tobin Bell,English,Canada,90,45670855
Alpha and Omega,2010,Animation,Anthony Bell,Chris Denk ,Justin Long,English,USA,90,25077977
Happy People: A Year in the Taiga,2010,Documentary,Werner Herzog,Werner Herzog,Werner Herzog,English,Germany,90,217987
MacGruber,2010,Action,Jorma Taccone,Will Forte,Will Forte,English,USA,90,8000000
My Reincarnation,2011,Documentary,Jennifer Fox,unknown,Yeshi Silvano Namkhai,English,Switzerland,90,92674
A Monster in Paris,2011,Animation,Bibo Bergeron,Bibo Bergeron ,Matthieu Chedid,French,France,90,1043531
Familiar Grounds,2011,Drama,Stephane Lafleur,Stephane Lafleur,Francis La Haye,French,Canada,90,43037
Puss in Boots,2011,Animation,Chris Miller,Tom Wheeler ,Antonio Banderas,English,USA,90,149234747
Forks Over Knives,2011,Documentary,Lee Fulkerson,Lee Fulkerson,Lee Fulkerson,English,USA,90,1000000
Butter,2011,Comedy,Jim Field Smith,Jason A. Micallef,Jennifer Garner,English,USA,90,70931
"Love, Wedding, Marriage",2011,Comedy,Dermot Mulroney,Anouska Chydzik,Mandy Moore,English,USA,90,1378
Your Sister's Sister,2011,Comedy,Lynn Shelton,Lynn Shelton,Michael Harring,English,USA,90,1041358
People of a Feather,2011,Documentary,Joel Heath,Joel Heath,unknown,English,Canada,90,5651
Our Idiot Brother,2011,Comedy,Jesse Peretz,Jesse Peretz ,Paul Rudd,English,USA,90,24600000
The Salt of Life,2011,Comedy,Gianni Di Gregorio,Valerio Attanasio,Gianni Di Gregorio,Italian,Italy,90,200146
Kung Fu Panda 2,2011,Animation,Jennifer Yuh Nelson,Jonathan Aibel,Jack Black,English,USA,90,165230261
Revenge of the Electric Car,2011,Documentary,Chris Paine,P.G. Morgan,Tim Robbins,English,USA,90,150307
The Oranges,2011,Comedy,Julian Farino,Ian Helfer,Alia Shawkat,English,USA,90,261662
The Son of No One,2011,Action,Dito Montiel,Dito Montiel,Al Pacino,English,USA,90,28870
The Greatest Movie Ever Sold,2011,Documentary,Morgan Spurlock,Jeremy Chilnick,J.J. Abrams,English,USA,90,638476
A Very Harold & Kumar 3D Christmas,2011,Adventure,Todd Strauss-Schulson,Jon Hurwitz,Patton Oswalt,English,USA,90,34400000
Top Cat: The Movie,2011,Animation,Alberto Mar,Timothy McKeon ,Jason Harris,Spanish,Mexico,90,1444790
Booker's Place: A Mississippi Story,2012,Documentary,Raymond De Felitta,unknown,Hodding Carter III,English,USA,90,5000
Fill the Void,2012,Drama,Rama Burshtein,Rama Burshtein,Hadas Yaron,Hebrew,Israel,90,1130272
Unfinished Song,2012,Comedy,Paul Andrew Williams,Paul Andrew Williams,Terence Stamp,English,UK,90,1676463
Compliance,2012,Biography,Craig Zobel,Craig Zobel,Ann Dowd,English,USA,90,318622
ATM,2012,Horror,David Brooks,Chris Sparling ,Brian Geraghty,English,USA,90,2034
Greedy Lying Bastards,2012,Documentary,Craig Scott Rosebraugh,Patrick Gambuti Jr.,Enoch Adams,English,USA,90,45000
The Last Day of August,2012,Drama,Craig DiFolco,Craig DiFolco,Sebastian Arcelus,English,USA,90,1693
A Green Story,2012,Biography,Nick Agiashvili,Nick Agiashvili,Shannon Elizabeth,English,USA,90,12519
Evocateur: The Morton Downey Jr. Movie,2012,Documentary,Seth Kramer,Daniel A. Miller,Morton Downey Jr.,English,USA,90,21476
Struck by Lightning,2012,Comedy,Brian Dannelly,Chris Colfer,Rebel Wilson,English,USA,90,100000
War Witch,2012,Drama,Kim Nguyen,Kim Nguyen,Rachel Mwanza,French,Canada,90,28620
Ginger & Rosa,2012,Drama,Sally Potter,Sally Potter,Christina Hendricks,English,UK,90,1005700
Detropia,2012,Documentary,Heidi Ewing,unknown,Noah Stewart,English,USA,90,356172
Hello Herman,2012,Drama,Michelle Danner,John Buffalo Mailer,Norman Reedus,English,USA,90,5985
Una noche,2012,Drama,Lucy Mulloy,Lucy Mulloy,Dariel Arrechaga,Spanish,USA,90,43419
The Samaritan,2012,Crime,David Weaver,Elan Mastai ,Samuel L. Jackson,English,Canada,90,1744
Fading Gigolo,2013,Comedy,John Turturro,John Turturro,John Turturro,English,USA,90,3179352
Alan Partridge,2013,Action,Declan Lowney,Neil Gibbons ,Colm Meaney,English,UK,90,153146
Europa Report,2013,Drama,Sebastian Cordero,Philip Gelatt,Daniel Wu,English,USA,90,125475
Repentance,2013,Drama,Philippe Caland,Shintaro Shimosawa ,Forest Whitaker,English,USA,90,1179327
Demi-soeur,2013,Comedy,Josiane Balasko,Josiane Balasko ,Josiane Balasko,French,France,90,634
Drinking Buddies,2013,Comedy,Joe Swanberg,Joe Swanberg,Olivia Wilde,English,USA,90,200000
Syrup,2013,Comedy,Aram Rappaport,Aram Rappaport ,Juan Luis Acevedo,English,USA,90,656
I Am Divine,2013,Documentary,Jeffrey Schwarz,unknown,Divine,English,USA,90,60003
Citizen Koch,2013,Documentary,Carl Deal,Carl Deal,David H. Koch,English,USA,90,153908
A Field in England,2013,Drama,Ben Wheatley,Amy Jump,Julian Barratt,English,UK,90,30716
Redwood Highway,2013,Drama,Gary Lundgren,Gary Lundgren,Shirley Knight,English,USA,90,132297
Silver Circle,2013,Animation,Pasha Roberts,Steven Schwartz ,De'Lon Grant,English,USA,90,2825
Escape from Tomorrow,2013,Drama,Randy Moore,Randy Moore,Roy Abramsohn,English,USA,90,169719
GMO OMG,2013,Documentary,Jeremy Seifert,unknown,Jeremy Seifert,English,USA,90,39901
Spark: A Burning Man Story,2013,Documentary,Steve Brown,unknown,Harley K. Dubois,English,USA,90,120059
Demi-soeur,2013,Comedy,Josiane Balasko,Josiane Balasko ,Josiane Balasko,French,France,90,634
The Mafia Kills Only in Summer,2013,Comedy,Pif,Michele Astori,Cristiana Capotondi,Italian,Italy,90,37134
The Bling Ring,2013,Biography,Sofia Coppola,Sofia Coppola,Katie Chang,English,USA,90,5500000
Only God Forgives,2013,Crime,Nicolas Winding Refn,Nicolas Winding Refn,Ryan Gosling,English,Denmark,90,700000
The Pretty One,2013,Comedy,Jenee LaMarque,Jenee LaMarque,Zoe Kazan,English,USA,90,11186
An Honest Liar,2014,Documentary,Tyler Measom,Tyler Measom,James Randi,English,USA,90,177476
Meet Me in Montenegro,2014,Comedy,Alex Holdridge,Alex Holdridge,Alex Holdridge,English,USA,90,7367
3 Nights in the Desert,2014,Drama,Gabriel Cowan,Adam Chanzit ,Wes Bentley,English,USA,90,1279
The Principle,2014,Documentary,Katheryne Thomas,Rick DeLano,Julian Barbour,English,USA,90,86172
Come Back to Me,2014,Fantasy,Paul Leyden,Paul Leyden ,Jon Abrahams,English,USA,90,4156
Barefoot,2014,Comedy,Andrew Fleming,Stephen Zotnowski,Evan Rachel Wood,English,USA,90,11766
Ivory Tower,2014,Documentary,Andrew Rossi,Andrew Rossi,Elizabeth Armstrong,English,USA,90,99555
Amira & Sam,2014,Comedy,Sean Mullin,Sean Mullin,Martin Starr,English,USA,90,31849
Monk with a Camera,2014,Documentary,Tina Mascara,unknown,The Dalai Lama,English,USA,90,10000
A Beautiful Now,2015,Comedy,Daniela Amavia,Daniela Amavia,Abigail Spencer,English,USA,90,1504
The Wolfpack,2015,Documentary,Crystal Moselle,unknown,Bhagavan Angulo,English,USA,90,1300447
Don Verdean,2015,Adventure,Jared Hess,Jared Hess,Sam Rockwell,English,USA,90,30525
"Hello, My Name Is Doris",2015,Comedy,Michael Showalter,Laura Terruso ,Sally Field,English,USA,90,14443077
Anesthesia,2015,Crime,Tim Blake Nelson,Tim Blake Nelson,Sam Waterston,English,USA,90,22386
The Bad Education Movie,2015,Comedy,Elliot Hegarty,Jack Whitehall ,Jack Whitehall,English,UK,90,921426
Prophet's Prey,2015,Documentary,Amy Berg,Amy Berg,Nick Cave,English,USA,90,13532
Beverly Hills Chihuahua,2008,Adventure,Raja Gosnell,Analisa LaBianco ,Piper Perabo,English,USA,91,94497271
Sunshine Cleaning,2008,Comedy,Christine Jeffs,Megan Holley,Amy Adams,English,USA,91,12033702
Semi-Pro,2008,Comedy,Kent Alterman,Scot Armstrong,Will Ferrell,English,USA,91,33370443
The Happening,2008,Mystery,M. Night Shyamalan,M. Night Shyamalan,Mark Wahlberg,English,USA,91,64500000
Goodbye Solo,2008,Drama,Ramin Bahrani,Bahareh Azimi ,Souleymane Sy Savane,English,USA,91,809220
Beverly Hills Chihuahua,2008,Adventure,Raja Gosnell,Analisa LaBianco ,Piper Perabo,English,USA,91,94497271
Blood: The Last Vampire,2009,Action,Chris Nahon,Chris Chow ,Ji-hyun Jun,English,Hong Kong,91,192005
Planet 51,2009,Animation,Jorge Blanco,Joe Stillman ,Dwayne Johnson,English,Spain,91,42194060
I'm Glad My Mother Is Alive,2009,Drama,Claude Miller,Emmanuel Carrere ,Vincent Rottiers,French,France,91,8435
Eyes Wide Open,2009,Drama,Haim Tabakman,Merav Doster ,Zohar Shtrauss,Hebrew,Israel,91,463914
Paul Blart: Mall Cop,2009,Action,Steve Carr,Kevin James,Kevin James,English,USA,91,146336178
Paranormal Activity 2,2010,Horror,Tod Williams,Michael R. Perry ,David Bierend,English,USA,91,84747727
Rabbit Hole,2010,Drama,John Cameron Mitchell,David Lindsay-Abaire ,Nicole Kidman,English,USA,91,2221809
Rabbit Hole,2010,Drama,John Cameron Mitchell,David Lindsay-Abaire ,Nicole Kidman,English,USA,91,2221809
When in Rome,2010,Comedy,Mark Steven Johnson,David Diamond,Kristen Bell,English,USA,91,32578915
I Kissed a Vampire,2010,Musical,Chris Nolan,Chris Nolan ,Lucas Grabeel,English,USA,91,1380
Burke and Hare,2010,Comedy,John Landis,Piers Ashworth,Bill Bailey,English,UK,91,947
Cyrus,2010,Comedy,Jay Duplass,Mark Duplass,John C. Reilly,English,USA,91,7455447
Two in the Wave,2010,Documentary,Emmanuel Laurent,Antoine de Baecque,Isild Le Besco,French,France,91,27824
Burke and Hare,2010,Comedy,John Landis,Piers Ashworth,Bill Bailey,English,UK,91,947
The Beaver,2011,Drama,Jodie Foster,Kyle Killen,Mel Gibson,English,USA,91,900000
Judy Moody and the Not Bummer Summer,2011,Comedy,John Schultz,Kathy Waugh ,Jordana Beatty,English,USA,91,15000994
Sarah Palin: You Betcha!,2011,Documentary,Nick Broomfield,unknown,Nick Broomfield,English,UK,91,10524
The Human Centipede II (Full Sequence),2011,Drama,Tom Six,Tom Six,Laurence R. Harvey,English,USA,91,122890
The Roommate,2011,Drama,Christian E. Christiansen,Sonny Mallhi,Leighton Meester,English,USA,91,37300107
Trespass,2011,Crime,Joel Schumacher,Karl Gajdusek,Nicolas Cage,English,USA,91,16816
Last Days Here,2011,Documentary,Don Argott,unknown,Phil Anselmo,English,USA,91,6695
Jack and Jill,2011,Comedy,Dennis Dugan,Steve Koren ,Adam Sandler,English,USA,91,74158157
Trespass,2011,Crime,Joel Schumacher,Karl Gajdusek,Nicolas Cage,English,USA,91,16816
From Up on Poppy Hill,2011,Animation,Goro Miyazaki,Tetsuro Sayama ,Masami Nagasawa,Japanese,Japan,91,696519
One for the Money,2012,Action,Julie Anne Robinson,Stacy Sherman ,Katherine Heigl,English,USA,91,26100000
Ai Weiwei: Never Sorry,2012,Documentary,Alison Klayman,Alison Klayman,Weiwei Ai,English,USA,91,500000
Cirque du Soleil: Worlds Away,2012,Fantasy,Andrew Adamson,Andrew Adamson,Erica Linz,English,USA,91,12495865
Premium Rush,2012,Action,David Koepp,David Koepp,Joseph Gordon-Levitt,English,USA,91,20275446
Hotel Transylvania,2012,Animation,Genndy Tartakovsky,Peter Baynham ,Adam Sandler,English,USA,91,148280635
A Thousand Words,2012,Comedy,Brian Robbins,Steve Koren,Eddie Murphy,English,USA,91,18429081
Premium Rush,2012,Action,David Koepp,David Koepp,Joseph Gordon-Levitt,English,USA,91,20275446
Fast Girls,2012,Drama,Regan Hall,Noel Clarke ,Lenora Crichlow,English,UK,91,335700
Enemy,2013,Mystery,Denis Villeneuve,Jose Saramago ,Jake Gyllenhaal,English,Canada,91,455421
Killing Season,2013,Action,Mark Steven Johnson,Evan Daugherty,Robert De Niro,English,USA,91,27713
Free Birds,2013,Animation,Jimmy Hayward,Scott Mosier ,Owen Wilson,English,USA,91,46667023
Decoding Annie Parker,2013,Drama,Steven Bernstein,Adam Bernstein,Helen Hunt,English,USA,91,39850
The Selfish Giant,2013,Drama,Clio Barnard,Clio Barnard,Conner Chapman,English,UK,91,12189
Planes,2013,Animation,Klay Hall,John Lasseter ,Dane Cook,English,USA,91,71270759
Gravity,2013,Drama,Alfonso Cuaron,Alfonso Cuaron,Sandra Bullock,English,UK,91,274084951
The Sleepwalker,2014,Drama,Mona Fastvold,Brady Corbet,Gitte Witt,English,Norway,91,2636
Persecuted,2014,Action,Daniel Lusko,Daniel Lusko,James Remar,English,USA,91,1557494
Beyond the Reach,2014,Thriller,Jean-Baptiste Leonetti,Stephen Susco ,Michael Douglas,English,USA,91,32050
The One I Love,2014,Drama,Charlie McDowell,Justin Lader,Mark Duplass,English,USA,91,511635
Better Living Through Chemistry,2014,Comedy,Geoff Moore,Geoff Moore,Sam Rockwell,English,UK,91,51772
Magician: The Astonishing Life and Work of Orson Welles,2014,Documentary,Chuck Workman,unknown,Orson Welles,English,USA,91,8794
Chocolate City,2015,Drama,Jean-Claude La Marre,Jean-Claude La Marre,Robert Ri'chard,English,USA,91,212223
Minions,2015,Animation,Kyle Balda,Brian Lynch,Sandra Bullock,English,USA,91,277969969
45 Years,2015,Drama,Andrew Haigh,Andrew Haigh,Charlotte Rampling,English,UK,91,3489919
Kung Fu Panda,2008,Animation,Mark Osborne,Jonathan Aibel ,Jack Black,English,USA,92,215395021
Saw V,2008,Crime,David Hackl,Patrick Melton ,Tobin Bell,English,USA,92,56729973
Bronson,2008,Action,Nicolas Winding Refn,Brock Norman Brock ,Tom Hardy,English,UK,92,100000
Soul Power,2008,Documentary,Jeffrey Kusama-Hinte,unknown,Muhammad Ali,English,USA,92,200000
Hancock,2008,Action,Peter Berg,Vincent Ngo,Will Smith,English,USA,92,227946274
Mia and the Migoo,2008,Animation,Jacques-Remy Girerd,Benoit Chieux ,Dany Boon,French,France,92,16975
Hamlet 2,2008,Comedy,Andrew Fleming,Pam Brady,Steve Coogan,English,USA,92,4784111
Miss Pettigrew Lives for a Day,2008,Comedy,Bharat Nalluri,David Magee ,Amy Adams,English,UK,92,12294036
Choke,2008,Comedy,Clark Gregg,Clark Gregg ,Kathryn Alexander,English,USA,92,2831900
"Lovely, Still",2008,Drama,Nicholas Fackler,Nicholas Fackler,Martin Landau,English,USA,92,124720
Underworld: Rise of the Lycans,2009,Action,Patrick Tatopoulos,Danny McBride ,Michael Sheen,English,USA,92,45802315
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,2009,Documentary,Judith Ehrlich,Lawrence Lerew,Peter Arnett,English,USA,92,453483
How to Live Forever,2009,Documentary,Mark Wexler,Robert DeMaio ,Suzanne Somers,English,USA,92,58764
Extract,2009,Comedy,Mike Judge,Mike Judge,Jason Bateman,English,USA,92,10642511
The Cove,2009,Documentary,Louie Psihoyos,Mark Monroe,Richard O'Barry,English,USA,92,619467
"Yoo-Hoo, Mrs. Goldberg",2009,Documentary,Aviva Kempner,unknown,Gertrude Berg,English,USA,92,722545
Feed the Fish,2009,Comedy,Michael Matzdorff,Michael Matzdorff,Tony Shalhoub,English,USA,92,101160
X Games 3D: The Movie,2009,Documentary,Steven Lawrence,Greg Jennings,Shaun White,English,USA,92,837216
The Haunting in Connecticut,2009,Drama,Peter Cornwell,Adam Simon,Virginia Madsen,English,USA,92,55325526
Down for Life,2009,Drama,Alan Jacobs,Alan Jacobs,Jessica Romero,English,USA,92,39644
The Pink Panther 2,2009,Action,Harald Zwart,Scott Neustadter ,Steve Martin,English,USA,92,35922978
Vanishing on 7th Street,2010,Horror,Brad Anderson,Anthony Jaswinski,Hayden Christensen,English,USA,92,22197
A Screaming Man,2010,Drama,Mahamat-Saleh Haroun,Mahamat-Saleh Haroun ,Youssouf Djaoro,French,France,92,9862
Immigration Tango,2010,Comedy,David Burton Morris,Martin L. Kelley ,Elika Portnoy,English,USA,92,23812
The Dry Land,2010,Drama,Ryan Piers Williams,Ryan Piers Williams,Ryan O'Nan,English,USA,92,7351
I Want Your Money,2010,Documentary,Ray Griggs,Randall Norman Desoto,Ken Blackwell,English,USA,92,425899
Main Street,2010,Drama,John Doyle,Horton Foote,Colin Firth,English,USA,92,1553
Skyline,2010,Action,Colin Strause,Joshua Cordes,Eric Balfour,English,USA,92,12000000
Skyline,2010,Action,Colin Strause,Joshua Cordes,Eric Balfour,English,USA,92,12000000
Vanishing on 7th Street,2010,Horror,Brad Anderson,Anthony Jaswinski,Hayden Christensen,English,USA,92,22197
Easy A,2010,Comedy,Will Gluck,Bert V. Royal,Emma Stone,English,USA,92,58401464
From Paris with Love,2010,Action,Pierre Morel,Adi Hasak ,John Travolta,English,France,92,23979741
Perfect Sense,2011,Drama,David Mackenzie,Kim Fupz Aakeson,Eva Green,English,UK,92,1567
Perfect Sense,2011,Drama,David Mackenzie,Kim Fupz Aakeson,Eva Green,English,UK,92,1567
Tyrannosaur,2011,Drama,Paddy Considine,Paddy Considine,Peter Mullan,English,UK,92,22088
Page One: Inside the New York Times,2011,Documentary,Andrew Rossi,Kate Novack,Sarah Ellison,English,USA,92,1067028
Final Destination 5,2011,Horror,Steven Quale,Eric Heisserer,Nicholas D'Agosto,English,USA,92,42500000
The Mill and the Cross,2011,Drama,Lech Majewski,Michael Francis Gibson ,Rutger Hauer,English,Poland,92,185261
Red Dog,2011,Biography,Kriv Stenders,Daniel Taplitz ,Josh Lucas,English,Australia,92,14013831
Battle of Los Angeles,2011,Action,Mark Atkins,Mark Atkins,Nia Peeples,English,USA,92,83537651
Goon,2011,Comedy,Michael Dowse,Jay Baruchel,Seann William Scott,English,USA,92,840657
Jesus Henry Christ,2011,Comedy,Dennis Lee,Dennis Lee ,Toni Collette,English,USA,92,18390
Bad Teacher,2011,Comedy,Jake Kasdan,Gene Stupnitsky,Cameron Diaz,English,USA,92,100292856
Another Earth,2011,Drama,Mike Cahill,Mike Cahill,William Mapother,English,USA,92,957752
Where Soldiers Come From,2011,Documentary,Heather Courtney,unknown,unknown,English,USA,92,38151
Abandoned,2011,Drama,Gaby Dellal,Leslie Schwartz ,Ameko Eks Mass Carroll,English,Canada,92,407
Nitro Circus: The Movie,2012,Documentary,Gregg Godfrey,Gregg Godfrey,Travis Pastrana,English,USA,92,3376905
ParaNorman,2012,Animation,Chris Butler,Chris Butler,Kodi Smit-McPhee,English,USA,92,55994557
Price Check,2012,Comedy,Michael Walker,Michael Walker,Eric Mabius,English,USA,92,4669
The Revisionaries,2012,Documentary,Scott Thurman,Scott Thurman,Don McLeroy,English,USA,92,21731
Bullet to the Head,2012,Action,Walter Hill,Alessandro Camon ,Sylvester Stallone,English,USA,92,9500000
Vamps,2012,Comedy,Amy Heckerling,Amy Heckerling,Alicia Silverstone,English,USA,92,2741
Bullet to the Head,2012,Action,Walter Hill,Alessandro Camon ,Sylvester Stallone,English,USA,92,9500000
Bullet to the Head,2012,Action,Walter Hill,Alessandro Camon ,Sylvester Stallone,English,USA,92,9500000
Unconditional Love,2012,Drama,Bryn Higgins,Sukey Fisher,Christian Cooke,English,UK,92,1000000
Brake,2012,Thriller,Gabe Torres,Timothy Mannion,Stephen Dorff,English,USA,92,4330
Tiger Eyes,2012,Drama,Lawrence Blume,Judy Blume ,Willa Holland,English,USA,92,25163
A Turtle's Tale 2: Sammy's Escape from Paradise,2012,Animation,Vincent Kesteloot,Domonic Paris,Alan Shearman,English,Belgium,92,519049
The Possession,2012,Horror,Ole Bornedal,Juliet Snowden,Jeffrey Dean Morgan,English,USA,92,49100000
Cowgirls 'n Angels,2012,Adventure,Timothy Armstrong,Timothy Armstrong,Bailee Madison,English,USA,92,119782
Berberian Sound Studio,2012,Drama,Peter Strickland,Peter Strickland,Toby Jones,English,UK,92,28602
Taken 2,2012,Action,Olivier Megaton,Luc Besson,Liam Neeson,English,France,92,139852115
The Three Stooges,2012,Comedy,Bobby Farrelly,Mike Cerrone,Sean Hayes,English,USA,92,41800000
Celeste & Jesse Forever,2012,Comedy,Lee Toland Krieger,Rashida Jones,Rashida Jones,English,USA,92,3094687
Computer Chess,2013,Comedy,Andrew Bujalski,Andrew Bujalski,Kriss Schludermann,English,USA,92,101218
The Missing Picture,2013,Documentary,Rithy Panh,Rithy Panh,Randal Douc,French,Cambodia,92,31087
Raze,2013,Action,Josh C. Waller,Robert Beaucage ,Zoe Bell,English,USA,92,3453
One Direction: This Is Us,2013,Documentary,Morgan Spurlock,unknown,Niall Horan,English,USA,92,28873374
The Retrieval,2013,Adventure,Chris Eska,Chris Eska,Ashton Sanders,English,USA,92,50257
Bad Grandpa,2013,Comedy,Jeff Tremaine,Johnny Knoxville ,Johnny Knoxville,English,USA,92,84961415
Paradise: Hope,2013,Drama,Ulrich Seidl,Ulrich Seidl ,Melanie Lenz,German,Austria,92,4184
Texas Chainsaw 3D,2013,Horror,John Luessenhop,Adam Marcus ,Alexandra Daddario,English,USA,92,34334256
Justin Bieber's Believe,2013,Documentary,Jon M. Chu,Sarah Landman,Justin Bieber,English,USA,92,2610574
The Face of Love,2013,Drama,Arie Posin,Matthew McDuffie,Annette Bening,English,USA,92,188627
Fed Up,2014,Documentary,Stephanie Soechtig,Mark Monroe,Katie Couric,English,USA,92,1538898
Penguins of Madagascar,2014,Animation,Eric Darnell,Michael Colton ,Tom McGrath,English,USA,92,70727688
Fed Up,2014,Documentary,Stephanie Soechtig,Mark Monroe,Katie Couric,English,USA,92,1538898
Adult Beginners,2014,Comedy,Ross Katz,Nick Kroll ,Rose Byrne,English,USA,92,104415
Days and Nights,2014,Comedy,Christian Camargo,Christian Camargo,Ben Whishaw,English,USA,92,6003
Match,2014,Comedy,Stephen Belber,Stephen Belber,Patrick Stewart,English,USA,92,30469
Mr. Peabody & Sherman,2014,Animation,Rob Minkoff,Jay Ward ,Ty Burrell,English,USA,92,101784999
"I, Frankenstein",2014,Action,Stuart Beattie,Stuart Beattie ,Aaron Eckhart,English,USA,92,15687400
We Are the Giant,2014,Documentary,Greg Barker,unknown,unknown,Arabic,USA,92,1088
3 Generations,2015,Drama,Gaby Dellal,Nikole Beckwith,Elle Fanning,English,USA,92,66371
The Witch,2015,Horror,Robert Eggers,Robert Eggers,Anya Taylor-Joy,English,UK,92,19239494
Alvin and the Chipmunks: The Road Chip,2015,Animation,Walt Becker,Ross Bagdasarian ,Jason Lee,English,USA,92,66580191
Trouble the Water,2008,Documentary,Carl Deal,unknown,Michael Brown,English,USA,93,146384
Last Chance Harvey,2008,Drama,Joel Hopkins,Joel Hopkins,Dustin Hoffman,English,USA,93,14840421
The Tale of Despereaux,2008,Animation,Sam Fell,Kate DiCamillo ,Matthew Broderick,English,UK,93,50818750
Roadside Romeo,2008,Animation,Jugal Hansraj,Jugal Hansraj,Saif Ali Khan,Hindi,India,93,41770
Lebanon,2009,Drama,Samuel Maoz,Samuel Maoz,Yoav Donat,Hebrew,Israel,93,300000
Racing Dreams,2009,Documentary,Marshall Curry,Marshall Curry,Annabeth Barnes,English,USA,93,5529
Whatever Works,2009,Comedy,Woody Allen,Woody Allen,Larry David,English,USA,93,5300000
Best Worst Movie,2009,Documentary,Michael Paul Stephenson,unknown,George Hardy,English,USA,93,103194
Valhalla Rising,2009,Adventure,Nicolas Winding Refn,Nicolas Winding Refn,Mads Mikkelsen,English,Denmark,93,17836
Pianomania,2009,Documentary,Robert Cibis,unknown,Stephan Knupfer,German,Austria,93,47052
Cook County,2009,Drama,David Pomes,David Pomes,Anson Mount,English,USA,93,757900
Animals United,2010,Animation,Reinhard Klooss,Simon Hauschild ,James Corden,German,Germany,93,550851
Shrek Forever After,2010,Animation,Mike Mitchell,William Steig ,Mike Myers,English,USA,93,238319043
Twelve,2010,Action,Joel Schumacher,Jordan Melamed ,Chace Crawford,English,USA,93,18159100
Klown,2010,Comedy,Mikkel Norgaard,Casper Christensen ,Frank Hvam,Danish,Denmark,93,68559
Restrepo,2010,Documentary,Tim Hetherington,unknown,The Men of Battle Company 2nd of the 503rd Infantry Regiment 173rd Airborne Brigade Combat Team,English,USA,93,1330894
Twelve,2010,Action,Joel Schumacher,Jordan Melamed ,Chace Crawford,English,USA,93,18159100
Last Night,2010,Drama,Massy Tadjedin,Massy Tadjedin,Keira Knightley,English,USA,93,100000
The Perfect Host,2010,Comedy,Nick Tomnay,Nick Tomnay,David Hyde Pierce,English,USA,93,48289
Zenith,2010,Sci-Fi,Vladan Nikolic,Vladan Nikolic,Peter Scanavino,English,USA,93,7862
The Mechanic,2011,Action,Simon West,Richard Wenk ,Jason Statham,English,USA,93,29113588
Alps,2011,Drama,Yorgos Lanthimos,Efthymis Filippou ,Angeliki Papoulia,Greek,Greece,93,5571
Horrid Henry: The Movie,2011,Adventure,Nick Moore,Tony Ross ,Theo Stevenson,English,UK,93,2524717
When Harry Tries to Marry,2011,Comedy,Nayan Padrai,Ralph Stein ,Rahul Rai,English,USA,93,38261
The Fairy,2011,Comedy,Dominique Abel,Dominique Abel ,Dominique Abel,French,France,93,18417
Haywire,2011,Action,Steven Soderbergh,Lem Dobbs,Gina Carano,English,Ireland,93,18934858
Source Code,2011,Sci-Fi,Duncan Jones,Ben Ripley,Jake Gyllenhaal,English,USA,93,54696902
Chicken with Plums,2011,Comedy,Vincent Paronnaud,Marjane Satrapi,Mathieu Amalric,French,France,93,253705
The Ambassador,2011,Documentary,Mads Brugger,Mads Brugger ,Mads Brugger,Danish,Denmark,93,27503
Bringing Up Bobby,2011,Comedy,Famke Janssen,Cole Frates ,Milla Jovovich,English,USA,93,4975
Down the Shore,2011,Drama,Harold Guskin,Sandra Jennings,Famke Janssen,English,USA,93,4808
Bringing Up Bobby,2011,Comedy,Famke Janssen,Cole Frates ,Milla Jovovich,English,USA,93,4975
Haywire,2011,Action,Steven Soderbergh,Lem Dobbs,Gina Carano,English,Ireland,93,18934858
Sholem Aleichem: Laughing in the Darkness,2011,Documentary,Joseph Dorman,Joseph Dorman,Rachel Dratch,English,USA,93,906666
Project Nim,2011,Documentary,James Marsh,Elizabeth Hess ,Nim Chimpsky,English,UK,93,410077
Thin Ice,2011,Comedy,Jill Sprecher,Jill Sprecher,Greg Kinnear,English,USA,93,600000
Le Havre,2011,Comedy,Aki Kaurismaki,Aki Kaurismaki,Andre Wilms,French,Finland,93,332068
Madagascar 3: Europe's Most Wanted,2012,Animation,Eric Darnell,Eric Darnell ,Ben Stiller,English,USA,93,216366733
Girl in Progress,2012,Comedy,Patricia Riggen,Hiram Martinez ,Eva Mendes,English,USA,93,2600000
The Cold Light of Day,2012,Action,Mabrouk El Mechri,Scott Wiper,Henry Cavill,English,USA,93,3700000
Iron Sky,2012,Action,Timo Vuorensola,Jarmo Puskala ,Julia Dietze,English,Finland,93,66076
Girls Against Boys,2012,Drama,Austin Chick,Austin Chick,Nicole LaLiberte,English,USA,93,6111
